kpi,point_id,carrier,time_band,median,profile_span,profile_medians,grade,grade_tie,n,low_confidence,mixed_campaigns,implausible_values,ruled_out,synthetic
t1_ttft_ms,SZ-PILOT-01,ctcc,idle,60.034708,50.19–64.73（3 个 profile）,s1_chat=50.186667; s2_coding_agent=64.1315; s3_multimodal=64.72968800000001,excellent,,45,False,,,,False
n1_rtt_p50_ms,SZ-PILOT-01,ctcc,idle,73.508,64.4–73.86（3 个 profile）,s1_chat=64.397; s2_coding_agent=73.86; s3_multimodal=73.696,fair,,45,False,,,,False
u1_goodput_mbps,SZ-PILOT-01,ctcc,idle,4.810391870433911,4.47–5.09（2 个 profile）,s2_coding_agent=4.47221488834391; s3_multimodal=5.094070784840058,fair,,30,False,,,s1_chat×15,False
t2_itl_p95_ms,SZ-PILOT-01,ctcc,idle,39.660771000000004,21.07–39.87（3 个 profile）,s1_chat=39.866791; s2_coding_agent=21.067334; s3_multimodal=39.764959000000005,excellent,,45,False,,,,False
