kpi,point_id,carrier,time_band,median,profile_span,profile_medians,grade,grade_tie,n,low_confidence,mixed_campaigns,implausible_values,ruled_out,synthetic
t1_ttft_ms,SZ-PILOT-01,ctcc,idle,60.432625,50.49–65.63（3 个 profile）,s1_chat=50.486562500000005; s2_coding_agent=65.62884399999999; s3_multimodal=62.371686999999994,excellent,,90,False,,,,False
n1_rtt_p50_ms,SZ-PILOT-01,ctcc,idle,76.287,73.52–77.84（3 个 profile）,s1_chat=73.52449999999999; s2_coding_agent=77.8415; s3_multimodal=77.133,fair,,90,False,,,,False
u1_goodput_mbps,SZ-PILOT-01,ctcc,idle,4.810391870433911,4.49–5.11（2 个 profile）,s2_coding_agent=4.494496673451401; s3_multimodal=5.109153844031955,fair,,60,False,,,s1_chat×30,False
t2_itl_p95_ms,SZ-PILOT-01,ctcc,idle,39.587594,21.09–39.82（3 个 profile）,s1_chat=39.774177; s2_coding_agent=21.087531499999997; s3_multimodal=39.82274,excellent,,90,False,,,,False
