point_id,carrier,time_band,band,rsrp_median_dbm,sinr_median_db,rats,serving_cells,n,n_with_radio,sampled_n_median,stale_samples,low_confidence,thin_samples,implausible_values,egress_ips,synthetic
SZ-PILOT-01,ctcc,busy,good,-83.0,20.0,LTE/NR,420-39430-1650/672-10119936-627264/672-10119936-633984,43,24,33,7,False,False,,106.80.108.105×72; 106.83.173.55×135; 106.85.27.201×9; 106.86.109.60×33; 106.92.23.196×36; 117.174.151.206×36,False
SZ-PILOT-01,ctcc,idle,medium,-98.0,16.5,LTE/NR,420-39430-1650/90-9766400-633984,30,25,46,0,False,False,,106.80.108.105×75; 106.86.109.60×3; 106.88.83.76×90,False
