kpi,point_id,carrier,time_band,median,profile_span,profile_medians,grade,grade_tie,n,low_confidence,mixed_campaigns,implausible_values,ruled_out,synthetic
t1_ttft_ms,PENDING-PO-01,ctcc,busy,50.9000105,50.39–51.21（3 个 profile）,s1_chat=51.0335725; s2_coding_agent=51.206479; s3_multimodal=50.3906145,excellent,,144,False,,,,False
n1_rtt_p50_ms,PENDING-PO-01,ctcc,busy,59.6755,57.89–60.43（3 个 profile）,s1_chat=57.894999999999996; s2_coding_agent=60.429; s3_multimodal=59.921,good,,144,False,,,,False
u1_goodput_mbps,PENDING-PO-01,ctcc,busy,13.856705894881824,11.39–17.94（2 个 profile）,s2_coding_agent=11.388532042985348; s3_multimodal=17.94302166845415,good,,96,False,,,s1_chat×48,False
t2_itl_p95_ms,PENDING-PO-01,ctcc,busy,27.5756045,12.6–29.31（3 个 profile）,s1_chat=28.971; s2_coding_agent=12.59526; s3_multimodal=29.314583,excellent,,144,False,,,,False
